City,Year
Aberdare,1869
Abingdon,1869
Adam,1869
Beckenham,1869
Berlin,1869
Birmingham,1869
Boston,1869
Bristol,1869
Camberwell,1869
Cambridge,1869
Cardiff,1869
Cork,1869
Cornwall,1869
Dunedin,1869
East London,1869
Edinburgh,1869
Epworth,1869
Formosa,1869
Glasgow,1869
Holland,1869
Hopkins,1869
Kent,1869
Kingsland,1869
Kingston,1869
Launceston,1869
Liverpool,1869
London,1869
Lowestoft,1869
Lubbock,1869
Melbourne,1869
Midland,1869
Newport,1869
Norfolk,1869
Orpington,1869
Paris,1869
Philadelphia,1869
Providence,1869
Salem,1869
Surrey,1869
Victoria,1869
Washington,1869
Wellington,1869
York,1869
Aden,1870
Albany,1870
Alexandria,1870
Andover,1870
Athens,1870
Auburn,1870
Battle Creek,1870
Berea,1870
Berkeley,1870
Bordeaux,1870
Bradford,1870
Brixton,1870
Buchanan,1870
Buffalo,1870
Camden,1870
Camden Town,1870
Canning Town,1870
Charlotte,1870
Chicago,1870
Cleveland,1870
Colorado,1870
Compton,1870
Crawfordsville,1870
Darlington,1870
Dickson,1870
Dover,1870
Dublin,1870
Elmira,1870
Estelle,1870
Florence,1870
Gibraltar,1870
Halifax,1870
Havana,1870
Holloway,1870
Huddersfield,1870
Irving,1870
Islington,1870
Jand,1870
Jersey City,1870
Jerusalem,1870
Kensington,1870
Kilburn,1870
Leipzig,1870
Liberty,1870
Lockport,1870
Lyndhurst,1870
Macclesfield,1870
Maidstone,1870
Mansfield,1870
Mecca,1870
Medina,1870
Mexico,1870
Milford,1870
Milton,1870
Mons,1870
Naples,1870
Nazareth,1870
Newcastle,1870
Niagara,1870
Nice,1870
Northampton,1870
Norwich,1870
Nottingham,1870
Palestine,1870
Phoenix,1870
Pleasantville,1870
Portland,1870
Richmond,1870
Roman,1870
Rome,1870
Smithfield,1870
Smyrna,1870
St. Thomas,1870
Stratford,1870
Suffolk,1870
Swindon,1870
Tonga,1870
Troy,1870
Venice,1870
Verona,1870
Walthamstow,1870
Warrington,1870
Watford,1870
Wellesley,1870
Willesden,1870
Yarm,1870
Appleton,1871
Bishop Auckland,1871
Borne,1871
Bridgeport,1871
Brighton,1871
Columbus,1871
Cumberland,1871
Davenport,1871
Detroit,1871
Essex,1871
Gaza,1871
Gloucester,1871
Godfrey,1871
Green,1871
Harper,1871
Highbury,1871
Ho,1871
Homburg,1871
Juba,1871
Kew,1871
Leigh,1871
Leytonstone,1871
Male,1871
Manchester,1871
Milan,1871
Moscow,1871
Natal,1871
New Orleans,1871
Pendleton,1871
Penzance,1871
Salt Lake City,1871
South Norwood,1871
St. Petersburg,1871
Stockholm,1871
Tipton,1871
Vienna,1871
Wakefield,1871
Walsall,1871
West Bromwich,1871
Yarmouth,1871
Abington,1872
Auckland,1872
Aurora,1872
Aylesbury,1872
Baltimore,1872
Blackheath,1872
Burlington,1872
Chelsea,1872
Damascus,1872
Exeter,1872
Flint,1872
Hyde Park,1872
Ipswich,1872
Kilkenny,1872
Lourdes,1872
Lymington,1872
Macon,1872
Messina,1872
Newark,1872
Palermo,1872
Palmer,1872
Pembroke,1872
Pietermaritzburg,1872
Plato,1872
Rochester,1872
Rutherford,1872
San Francisco,1872
Sandown,1872
Syracuse,1872
Temple,1872
Toledo,1872
Toronto,1872
Upper Norwood,1872
Westminster,1872
Winona,1872
Worcester,1872
Aberdeen,1873
Ahrensburg,1873
Alton,1873
Amsterdam,1873
Batley,1873
Belfast,1873
Belmont,1873
Belper,1873
Birkenhead,1873
Bonn,1873
Bremen,1873
Brunswick,1873
Cairo,1873
Camborne,1873
Canton,1873
Charleston,1873
Chattanooga,1873
Cheltenham,1873
Chesterfield,1873
Chichester,1873
Christchurch,1873
Cicero,1873
Concordia,1873
Denver,1873
Dundee,1873
Eastbourne,1873
Eastlake,1873
Euclid,1873
Geneva,1873
Grays,1873
Hamburg,1873
Hartford,1873
Hawthorne,1873
Hayward,1873
